Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Água Doce do Norte - ES;3200169;ES;11131;0,320990675;A;;n.d.;1,276337694;C;n.d.
Prefeitura Municipal de Água Fria - BA;2900405;BA;16901;0,761494073;B;1,017164257;C;;n.d.;n.d.
Prefeitura Municipal de Água Fria de Goiás - GO;5200175;GO;5676;0,04122135;A;0,907859911;B;1,154465405;C;C
Prefeitura Municipal de Água Limpa - GO;5200209;GO;1872;0,006068428;A;0,981726799;C;1,255517758;C;C
Prefeitura Municipal de Água Nova - RN;2400406;RN;3230;0,161742757;A;0,94624521;B;0,180563207;A;B
Prefeitura Municipal de Água Preta - PE;2600401;PE;36454;0,425347245;A;0,948563104;B;69,16464979;C;C
Prefeitura Municipal de Água Santa - RS;4300059;RS;3753;0,083604985;A;0,824523728;A;0,596939205;A;A
Prefeitura Municipal de Aguaí - SP;3500303;SP;35954;0,031164821;A;0,93702476;B;0,194276348;A;B
Prefeitura Municipal de Aguanil - MG;3100807;MG;4448;0,013508946;A;;n.d.;0;n.d.;n.d.
Prefeitura Municipal de Águas Belas - PE;2600500;PE;43195;0,372947076;A;0,966729035;C;24,55729992;C;C
Prefeitura Municipal de Águas da Prata - SP;3500402;SP;8137;0,20469314;A;0,936853966;B;0,788773287;A;B
Prefeitura Municipal de Águas de Chapecó - SC;4200507;SC;6455;0,012980454;A;0,952798657;C;0,104137924;A;C
Prefeitura Municipal de Águas de Lindóia - SP;3500501;SP;18599;0,123115931;A;0,897866066;A;-2,660188805;C;C
Prefeitura Municipal de Águas de Santa Bárbara - SP;3500550;SP;6040;0,012465345;A;0,97803209;C;1,121984167;C;C
Prefeitura Municipal de Águas de São Pedro - SP;3500600;SP;3380;0,033467569;A;0,898077167;A;0,030246743;A;A
Prefeitura Municipal de Águas Formosas - MG;3100906;MG;19166;0,178493453;A;0,985960652;C;-0,405709244;C;C
Prefeitura Municipal de Águas Frias - SC;4200556;SC;2378;0,072475107;A;0,910430353;B;0;n.d.;n.d.
Prefeitura Municipal de Águas Lindas de Goiás - GO;5200258;GO;207070;0,361971134;A;0,884382651;A;0,511616586;A;A
