Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Boa Nova - BA;2903706;BA;12953;0,910715838;B;0,95475841;C;8,944338748;C;C
Prefeitura Municipal de Boa Ventura - PB;2502102;PB;5423;0,465887022;A;1,001038719;C;1,974264226;C;C
Prefeitura Municipal de Boa Ventura de São Roque - PR;4103040;PR;6411;0,040766849;A;0,866743017;A;0,034921827;A;A
Prefeitura Municipal de Boa Viagem - CE;2302404;CE;54440;0,193450533;A;0,980941509;C;0,877363291;A;C
Prefeitura Municipal de Boa Vista - PB;2502151;PB;6972;0,001923688;A;0,894033695;A;6,48461274;C;C
Prefeitura Municipal de Boa Vista - RR;1400100;RR;375374;0,060939901;A;0,985191246;C;0,46266838;A;C
Prefeitura Municipal de Boa Vista da Aparecida - PR;4103057;PR;7643;0,088448918;A;0,969790017;C;2,344480834;C;C
Prefeitura Municipal de Boa Vista das Missões - RS;4302154;RS;2104;0,004072384;A;0,822820992;A;0;n.d.;n.d.
Prefeitura Municipal de Boa Vista do Buricá - RS;4302204;RS;6712;0,04963044;A;0,843265206;A;0,12607107;A;A
Prefeitura Municipal de Boa Vista do Cadeado - RS;4302220;RS;2473;;n.d.;0,9015149;B;0,019041868;A;n.d.
Prefeitura Municipal de Boa Vista do Gurupi - MA;2101970;MA;9158;0,839321698;B;1,397619452;C;-3,287021612;C;C
Prefeitura Municipal de Boa Vista do Incra - RS;4302238;RS;2590;0,12562406;A;0,906235925;B;0,108083306;A;B
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;AM;18781;0,257619945;A;0,928730469;B;1,522409385;C;C
Prefeitura Municipal de Boa Vista do Sul - RS;4302253;RS;2788;;n.d.;0,787382748;A;0,020888609;A;n.d.
Prefeitura Municipal de Boa Vista do Tupim - BA;2903805;BA;18622;0,529118232;A;0,958133943;C;;n.d.;n.d.
Prefeitura Municipal de Boca da Mata - AL;2701001;AL;27168;0,2761663;A;1,038385552;C;;n.d.;n.d.
Prefeitura Municipal de Boca do Acre - AM;1300706;AM;33976;0,112534722;A;0,982866407;C;1,415781008;C;C
Prefeitura Municipal de Bocaina - PI;2201804;PI;4496;;n.d.;1,022433547;C;0,887375033;A;n.d.
Prefeitura Municipal de Bocaina - SP;3506805;SP;12204;0,013709095;A;0,990808718;C;2,456553496;C;C
Prefeitura Municipal de Bocaina de Minas - MG;3107208;MG;5091;0,504090281;A;0,920715297;B;0,071905877;A;B
Prefeitura Municipal de Bocaina do Sul - SC;4202438;SC;3460;0,05522118;A;0,934122869;B;0,081430843;A;B
Prefeitura Municipal de Bocaiúva - MG;3107307;MG;49942;0,691496143;B;0,927991696;B;0,351512313;A;B
Prefeitura Municipal de Bocaiúva do Sul - PR;4103107;PR;12755;0,028495793;A;0,90098377;B;0,703627396;A;B
Prefeitura Municipal de Bodó - RN;2401651;RN;2250;0,192200356;A;0,980384545;C;;n.d.;n.d.
Prefeitura Municipal de Bodocó - PE;2602001;PE;37909;0,163877426;A;1,473569448;C;0,669183736;A;C
Prefeitura Municipal de Bodoquena - MS;5002159;MS;7817;0,019017453;A;0,914709716;B;0,049331894;A;B
Prefeitura Municipal de Bofete - SP;3506904;SP;11534;0,05959969;A;0,904153231;B;0,28809446;A;B
Prefeitura Municipal de Boituva - SP;3507001;SP;59793;0,114317364;A;0,966807651;C;1,859576888;C;C
Prefeitura Municipal de Bom Conselho - PE;2602100;PE;48336;0,321730525;A;1,055692536;C;442,6487402;C;C
Prefeitura Municipal de Bom Despacho - MG;3107406;MG;50166;0,086671768;A;;n.d.;0,024019305;A;n.d.
Prefeitura Municipal de Bom Jardim - MA;2102002;MA;41435;0,08603278;A;1,291836911;C;0,377765878;A;C
Prefeitura Municipal de Bom Jardim - PE;2602209;PE;39132;0,026303716;A;0,957651604;C;2,668596981;C;C
Prefeitura Municipal de Bom Jardim - RJ;3300506;RJ;27269;0,154092493;A;0,945783887;B;0,154136326;A;B
Prefeitura Municipal de Bom Jardim da Serra - SC;4202503;SC;4712;0,192356005;A;0,899617012;A;0,03992605;A;A
Prefeitura Municipal de Bom Jardim de Goiás - GO;5203401;GO;8813;0,246372138;A;0,9411;B;0,632069806;A;B
Prefeitura Municipal de Bom Jardim de Minas - MG;3107505;MG;6489;0,062248399;A;0,905523782;B;0,153407215;A;B
Prefeitura Municipal de Bom Jesus - PB;2502201;PB;2547;0,842948637;B;0,967096943;C;0,176240715;A;C
Prefeitura Municipal de Bom Jesus - PI;2201903;PI;24960;0,090952742;A;0,955737639;C;1,323323797;C;C
Prefeitura Municipal de Bom Jesus - RN;2401701;RN;10152;0,912632668;B;0,978077609;C;0,927620314;A;C
Prefeitura Municipal de Bom Jesus - RS;4302303;RS;11391;0,189133791;A;0,972740981;C;0,549799602;A;C
Prefeitura Municipal de Bom Jesus - SC;4202537;SC;2961;;n.d.;0,928931243;B;0;n.d.;n.d.
Prefeitura Municipal de Bom Jesus da Lapa - BA;2903904;BA;68609;0,592476412;A;0,856901902;A;0,508021479;A;A
Prefeitura Municipal de Bom Jesus da Penha - MG;3107604;MG;4190;0,045426437;A;0,92474196;B;0,213213504;A;B
Prefeitura Municipal de Bom Jesus da Serra - BA;2903953;BA;9942;0,903032116;B;1,254734283;C;0,101064646;A;C
Prefeitura Municipal de Bom Jesus das Selvas - MA;2102036;MA;33479;;n.d.;1,023447613;C;2,189394215;C;n.d.
Prefeitura Municipal de Bom Jesus de Goiás - GO;5203500;GO;24776;0,083734322;A;0,920311624;B;1,323648145;C;C
Prefeitura Municipal de Bom Jesus do Amparo - MG;3107703;MG;6031;0,226722562;A;0,959256581;C;0,059892194;A;C
Prefeitura Municipal de Bom Jesus do Araguaia - MT;5101852;MT;6452;;n.d.;0,890372373;A;1,425951577;C;n.d.
Prefeitura Municipal de Bom Jesus do Galho - MG;3107802;MG;15010;0,080386062;A;0,878952676;A;0,230270646;A;A
Prefeitura Municipal de Bom Jesus do Itabapoana - RJ;3300605;RJ;36985;0,198006456;A;1,247922599;C;2,628942354;C;C
Prefeitura Municipal de Bom Jesus do Norte - ES;3201100;ES;9910;0,073680308;A;0,932522487;B;0,066167535;A;B
Prefeitura Municipal de Bom Jesus do Oeste - SC;4202578;SC;2146;;n.d.;0,880584561;A;0,006391954;A;n.d.
Prefeitura Municipal de Bom Jesus do Sul - PR;4103156;PR;3577;;n.d.;0,931753132;B;0,047735884;A;n.d.
Prefeitura Municipal de Bom Jesus do Tocantins - PA;1501576;PA;16841;;n.d.;1,01956889;C;;n.d.;n.d.
Prefeitura Municipal de Bom Jesus do Tocantins - TO;1703305;TO;4779;0,024277206;A;0,98207184;C;1,142575315;C;C
Prefeitura Municipal de Bom Jesus dos Perdões - SP;3507100;SP;24898;0,020524748;A;0,885954151;A;0,798345893;A;A
Prefeitura Municipal de Bom Lugar - MA;2102077;MA;16148;;n.d.;0,967961129;C;;n.d.;n.d.
Prefeitura Municipal de Bom Princípio - RS;4302352;RS;13846;0,088476116;A;0,853279005;A;0,05888269;A;A
Prefeitura Municipal de Bom Princípio do Piauí - PI;2201919;PI;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Bom Progresso - RS;4302378;RS;1987;;n.d.;0,969783733;C;0,430276332;A;n.d.
Prefeitura Municipal de Bom Repouso - MG;3107901;MG;10558;0,10479688;A;0,952120603;C;1,722179206;C;C
Prefeitura Municipal de Bom Retiro - SC;4202602;SC;9870;0,000857052;A;0,953080107;C;0,393740991;A;C
Prefeitura Municipal de Bom Retiro do Sul - RS;4302402;RS;12265;0,087375708;A;0,944646452;B;0,097958282;A;B
Prefeitura Municipal de Bom Sucesso - MG;3108008;MG;17598;0,046540298;A;0,95123741;C;0,57035449;A;C
Prefeitura Municipal de Bom Sucesso - PB;2502300;PB;4994;;n.d.;;n.d.;0,761532131;A;n.d.
Prefeitura Municipal de Bom Sucesso - PR;4103206;PR;6995;0,169221937;A;0,981602315;C;-0,326771349;C;C
Prefeitura Municipal de Bom Sucesso de Itararé - SP;3507159;SP;3923;0,087066606;A;0,977743097;C;3,248481187;C;C
Prefeitura Municipal de Bom Sucesso do Sul - PR;4103222;PR;3274;0,084440871;A;0,915801231;B;0,085901159;A;B
Prefeitura Municipal de Bombinhas - SC;4202453;SC;19193;0,176884286;A;0,935073195;B;0,05252865;A;B
Prefeitura Municipal de Bonfim - MG;3108107;MG;6876;0,115519681;A;0,955977602;C;0,113647688;A;C
Prefeitura Municipal de Bonfim - RR;1400159;RR;12257;0,277353202;A;1,750852936;C;1,861446505;C;C
Prefeitura Municipal de Bonfim do Piauí - PI;2201929;PI;5654;0,081704776;A;0,989481069;C;1,194056889;C;C
Prefeitura Municipal de Bonfinópolis - GO;5203559;GO;9488;0,169435971;A;0,899685142;A;0,012784049;A;A
Prefeitura Municipal de Bonfinópolis de Minas - MG;3108206;MG;5544;0,137959315;A;0,905305606;B;0,490061767;A;B
Prefeitura Municipal de Boninal - BA;2904001;BA;14288;0,062697911;A;0,954482237;C;;n.d.;n.d.
Prefeitura Municipal de Bonito - BA;2904050;BA;16637;0,082759439;A;0,966842088;C;;n.d.;n.d.
Prefeitura Municipal de Bonito - MS;5002209;MS;21738;0,08874818;A;0,072821066;A;0,117178923;A;A
Prefeitura Municipal de Bonito - PA;1501600;PA;16038;0,313260672;A;1,000214597;C;;n.d.;n.d.
Prefeitura Municipal de Bonito - PE;2602308;PE;38152;0,326275251;A;1,017485675;C;4,910834625;C;C
Prefeitura Municipal de Bonito de Minas - MG;3108255;MG;11088;0,101300483;A;0,930974913;B;1,692831836;C;C
Prefeitura Municipal de Bonito de Santa Fé - PB;2502409;PB;11797;0,280974809;A;1,13579804;C;2,913998079;C;C
Prefeitura Municipal de Bonópolis - GO;5203575;GO;4316;0,087725207;A;0,934619868;B;0,168289752;A;B
Prefeitura Municipal de Boqueirão - PB;2502508;PB;17751;0,643386634;B;0,934100646;B;0,974044177;A;B
Prefeitura Municipal de Boqueirão do Leão - RS;4302451;RS;7726;0,101368151;A;0,864211472;A;0,308273218;A;A
Prefeitura Municipal de Boqueirão do Piauí - PI;2201945;PI;6388;0,234970459;A;0,92788295;B;17,73479904;C;C
Prefeitura Municipal de Boquim - SE;2800670;SE;26731;0,177050714;A;1,004076331;C;12,2318688;C;C
Prefeitura Municipal de Boquira - BA;2904100;BA;21520;0,716540113;B;0,965920092;C;2,282559399;C;C
Prefeitura Municipal de Borá - SP;3507209;SP;836;;n.d.;0,991689325;C;;n.d.;n.d.
Prefeitura Municipal de Boracéia - SP;3507308;SP;4776;;n.d.;0,992868196;C;0,148492395;A;n.d.
Prefeitura Municipal de Borba - AM;1300805;AM;40565;0,133713568;A;0,942529091;B;-0,158314436;C;C
Prefeitura Municipal de Borborema - PB;2502706;PB;5395;0,334629313;A;1,048724743;C;0,677334675;A;C
Prefeitura Municipal de Borborema - SP;3507407;SP;15925;0,105419214;A;0,942604369;B;0,693085897;A;B
Prefeitura Municipal de Borda da Mata - MG;3108305;MG;19202;0,040321271;A;0,914445752;B;0,088995238;A;B
Prefeitura Municipal de Borebi - SP;3507456;SP;2621;0,002393085;A;0,944939387;B;0,370903316;A;B
Prefeitura Municipal de Borrazópolis - PR;4103305;PR;6749;0,375085551;A;0,745166307;A;0,234303792;A;A
Prefeitura Municipal de Bossoroca - RS;4302501;RS;6356;0,038326931;A;0,879130834;A;0,421637015;A;A
Prefeitura Municipal de Botelhos - MG;3108404;MG;14995;;n.d.;0,90304344;B;0,019559089;A;n.d.
Prefeitura Municipal de Botucatu - SP;3507506;SP;144820;0,01804624;A;0,866271342;A;0,650618082;A;A
Prefeitura Municipal de Botumirim - MG;3108503;MG;6350;0,249755217;A;0,967922713;C;0,36357034;A;C
Prefeitura Municipal de Botuporã - BA;2904209;BA;10300;0,414745009;A;0,962448559;C;2,600762828;C;C
Prefeitura Municipal de Botuverá - SC;4202701;SC;5169;0,058309109;A;0,919919182;B;0,073767723;A;B
Prefeitura Municipal de Bozano - RS;4302584;RS;2135;;n.d.;0,949224332;B;0,024087335;A;n.d.
Prefeitura Municipal de Braço do Norte - SC;4202800;SC;33016;0,067682225;A;0,93908167;B;0,314626546;A;B
Prefeitura Municipal de Braço do Trombudo - SC;4202859;SC;3718;;n.d.;0,936487452;B;0,105783564;A;n.d.
Prefeitura Municipal de Braga - RS;4302600;RS;3397;0,028161585;A;0,931525835;B;0,18993135;A;B
Prefeitura Municipal de Bragança - PA;1501709;PA;126436;0,005017315;A;0,981436071;C;;n.d.;n.d.
Prefeitura Municipal de Bragança Paulista - SP;3507605;SP;166753;0,044975184;A;0,925294698;B;0,241278357;A;B
Prefeitura Municipal de Braganey - PR;4103354;PR;5473;0,075272807;A;0,970773439;C;0,054934614;A;C
Prefeitura Municipal de Branquinha - AL;2701100;AL;10529;0,045396815;A;1,021355985;C;;n.d.;n.d.
Prefeitura Municipal de Brás Pires - MG;3108701;MG;4374;0,021874878;A;0,91802394;B;;n.d.;n.d.
Prefeitura Municipal de Brasil Novo - PA;1501725;PA;15190;;n.d.;0,97489316;C;;n.d.;n.d.
Prefeitura Municipal de Brasilândia - MS;5002308;MS;11891;0,024720064;A;0,786076595;A;0,062426784;A;A
Prefeitura Municipal de Brasilândia de Minas - MG;3108552;MG;16321;;n.d.;0,899574117;A;0,191768994;A;n.d.
Prefeitura Municipal de Brasilândia do Sul - PR;4103370;PR;2719;0,185274264;A;0,713764356;A;-3,083023095;C;C
Prefeitura Municipal de Brasilândia do Tocantins - TO;1703602;TO;2191;0,127078332;A;0,953147392;C;;n.d.;n.d.
Prefeitura Municipal de Brasiléia - AC;1200104;AC;25848;0,193881467;A;1,00120431;C;1,960730407;C;C
Prefeitura Municipal de Brasileira - PI;2201960;PI;8310;0,38522288;A;0,964177118;C;0,699342075;A;C
Prefeitura Municipal de Brasília de Minas - MG;3108602;MG;32288;0,317080672;A;0,929686933;B;0,6843491;A;B
Prefeitura Municipal de Brasnorte - MT;5101902;MT;19248;0,013248371;A;0,921774637;B;0,185817815;A;B
Prefeitura Municipal de Braúna - SP;3507704;SP;5630;0,049253247;A;0,920771151;B;0,198838621;A;B
Prefeitura Municipal de Braúnas - MG;3108800;MG;4835;0,064813175;A;0,98950886;C;;n.d.;n.d.
Prefeitura Municipal de Brazabrantes - GO;5203609;GO;3659;0,031093822;A;1,028238596;C;;n.d.;n.d.
Prefeitura Municipal de Brazópolis - MG;3108909;MG;14508;0,020291355;A;0,878253133;A;0,03115681;A;A
Prefeitura Municipal de Brejão - PE;2602407;PE;8999;0,086066235;A;0,982565107;C;1,523701791;C;C
Prefeitura Municipal de Brejetuba - ES;3201159;ES;12381;8,34696E-05;A;0,926858842;B;0,16372966;A;B
Prefeitura Municipal de Brejinho - PE;2602506;PE;7486;0,066370267;A;0,917758938;B;0,078414464;A;B
Prefeitura Municipal de Brejinho - RN;2401800;RN;12609;0,577693537;A;0,953436438;C;;n.d.;n.d.
Prefeitura Municipal de Brejinho de Nazaré - TO;1703701;TO;5475;0,018044254;A;0,969418916;C;0,077747449;A;C
Prefeitura Municipal de Brejo - MA;2102101;MA;36139;0,183765664;A;1,469512458;C;0,001599199;A;C
Prefeitura Municipal de Brejo Alegre - SP;3507753;SP;2841;;n.d.;0,937769827;B;0;n.d.;n.d.
Prefeitura Municipal de Brejo da Madre de Deus - PE;2602605;PE;50249;0,015248194;A;1,039786561;C;4,925022665;C;C
Prefeitura Municipal de Brejo de Areia - MA;2102150;MA;9367;0,089442991;A;4,423865259;C;61,73356056;C;C
Prefeitura Municipal de Brejo do Cruz - PB;2502805;PB;13993;0,288299838;A;;n.d.;0,361071459;A;n.d.
Prefeitura Municipal de Brejo do Piauí - PI;2201988;PI;3902;0,000354976;A;1,053442873;C;1,657110705;C;C
Prefeitura Municipal de Brejo dos Santos - PB;2502904;PB;6433;0,531516674;A;;n.d.;1,883957912;C;n.d.
Prefeitura Municipal de Brejo Grande - SE;2800704;SE;8264;0,357166492;A;0,931853535;B;0,940841975;A;B
Prefeitura Municipal de Brejo Grande do Araguaia - PA;1501758;PA;7392;0,025568457;A;0,995312953;C;-0,035984594;C;C
Prefeitura Municipal de Brejo Santo - CE;2302503;CE;49109;0,009961199;A;0,898254077;A;0,674193964;A;A
Prefeitura Municipal de Brejões - BA;2904308;BA;14370;0,557068231;A;1,027625297;C;4,878398584;C;C
Prefeitura Municipal de Brejolândia - BA;2904407;BA;10493;0,309549653;A;0,914660405;B;14,17732665;C;C
Prefeitura Municipal de Breu Branco - PA;1501782;PA;64738;0,23546369;A;0,982646998;C;3,210880845;C;C
Prefeitura Municipal de Breves - PA;1501808;PA;101891;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Britânia - GO;5203807;GO;5761;0,689290376;B;;n.d.;0,153629647;A;n.d.
Prefeitura Municipal de Brochier - RS;4302659;RS;5043;;n.d.;0,774229359;A;0,005092604;A;n.d.
Prefeitura Municipal de Brodowski - SP;3507803;SP;24592;0,560164016;A;0,889133372;A;2,50140855;C;C
Prefeitura Municipal de Brotas - SP;3507902;SP;24163;0,000445295;A;0,937892995;B;0,03212037;A;B
Prefeitura Municipal de Brotas de Macaúbas - BA;2904506;BA;10341;0,04126895;A;0,983113248;C;1,291805287;C;C
Prefeitura Municipal de Brumadinho - MG;3109006;MG;39520;0,027833396;A;0,812633482;A;0,020896038;A;A
Prefeitura Municipal de Brumado - BA;2904605;BA;67048;0,162769329;A;0,94387688;B;0,999588238;A;B
Prefeitura Municipal de Brunópolis - SC;4202875;SC;2473;;n.d.;0,956663842;C;0,001945182;A;n.d.
Prefeitura Municipal de Brusque - SC;4202909;SC;131703;0,204364304;A;0,84991873;A;0,023732949;A;A
Prefeitura Municipal de Bueno Brandão - MG;3109105;MG;11010;0,037703647;A;0,947079247;B;0,120289886;A;B
Prefeitura Municipal de Buenópolis - MG;3109204;MG;10377;0,048050715;A;0,966271755;C;3,628856545;C;C
Prefeitura Municipal de Buenos Aires - PE;2602704;PE;13119;0,025731508;A;0,837714646;A;0,219109305;A;A
Prefeitura Municipal de Buerarema - BA;2904704;BA;18391;;n.d.;1,322539362;C;2,110351265;C;n.d.
Prefeitura Municipal de Bugre - MG;3109253;MG;4074;0,055911186;A;0,877329017;A;0;n.d.;n.d.
Prefeitura Municipal de Buíque - PE;2602803;PE;57825;0,042516984;A;0,988132512;C;;n.d.;n.d.
Prefeitura Municipal de Bujari - AC;1200138;AC;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Bujaru - PA;1501907;PA;28832;0,596085757;A;0,97862626;C;0,875339585;A;C
Prefeitura Municipal de Buri - SP;3508009;SP;19789;0,19781334;A;0,851211667;A;0,30882372;A;A
Prefeitura Municipal de Buritama - SP;3508108;SP;17003;0,069971271;A;0,916151095;B;0,124683385;A;B
Prefeitura Municipal de Buriti - MA;2102200;MA;28557;0,351053576;A;1,76309069;C;;n.d.;n.d.
Prefeitura Municipal de Buriti Alegre - GO;5203906;GO;9433;0,21390076;A;0,951357551;C;0,259078655;A;C
Prefeitura Municipal de Buriti Bravo - MA;2102309;MA;23827;;n.d.;1,501315074;C;9,960000055;C;n.d.
Prefeitura Municipal de Buriti de Goiás - GO;5203939;GO;2501;0,040857365;A;0,904349449;B;34,91391108;C;C
Prefeitura Municipal de Buriti do Tocantins - TO;1703800;TO;11197;0,549573598;A;0,928623454;B;-0,115032198;C;C
Prefeitura Municipal de Buriti dos Lopes - PI;2202000;PI;19754;0,327054567;A;0,942885773;B;3,168655938;C;C
Prefeitura Municipal de Buriti dos Montes - PI;2202026;PI;8223;;n.d.;0,987679773;C;2,468599722;C;n.d.
Prefeitura Municipal de Buriticupu - MA;2102325;MA;71723;0,185569887;A;0,837397628;A;2,642459508;C;C
Prefeitura Municipal de Buritinópolis - GO;5203962;GO;3302;0,17587408;A;0,966661466;C;0;n.d.;n.d.
Prefeitura Municipal de Buritirama - BA;2904753;BA;21067;0,096915712;A;0,797400433;A;;n.d.;n.d.
Prefeitura Municipal de Buritirana - MA;2102358;MA;15393;;n.d.;0,974293312;C;;n.d.;n.d.
Prefeitura Municipal de Buritis - MG;3109303;MG;24663;0,173603446;A;0,962634583;C;7,410756315;C;C
Prefeitura Municipal de Buritis - RO;1100452;RO;38937;0,18430588;A;-39,87888138;A;0,019730966;A;A
Prefeitura Municipal de Buritizal - SP;3508207;SP;4447;0,015142945;A;0,992590806;C;0,011443912;A;C
Prefeitura Municipal de Buritizeiro - MG;3109402;MG;27988;0,250607995;A;0,959549152;C;3,559446094;C;C
Prefeitura Municipal de Butiá - RS;4302709;RS;20929;0,124908958;A;0,989016445;C;2,567789552;C;C
Prefeitura Municipal de Caapiranga - AM;1300839;AM;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Caaporã - PB;2503001;PB;21698;0,320693699;A;0,97757328;C;0,886160376;A;C
Prefeitura Municipal de Caarapó - MS;5002407;MS;29743;0,076242959;A;0,899095589;A;0,307937077;A;A
Prefeitura Municipal de Caatiba - BA;2904803;BA;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Cabaceiras - PB;2503100;PB;5503;0,257132805;A;0,916455108;B;0,858338475;A;B
Prefeitura Municipal de Cabaceiras do Paraguaçu - BA;2904852;BA;18698;0,297193638;A;0,964507505;C;12,66186014;C;C
Prefeitura Municipal de Cabeceira Grande - MG;3109451;MG;6909;0,220218854;A;0,864727802;A;0,433079498;A;A
Prefeitura Municipal de Cabeceiras - GO;5204003;GO;7939;0,00552333;A;0,902672262;B;0,482334327;A;B
Prefeitura Municipal de Cabeceiras do Piauí - PI;2202059;PI;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Cabedelo - PB;2503209;PB;66680;0,03328616;A;0,468513467;A;0,872478669;A;A
Prefeitura Municipal de Cabixi - RO;1100031;RO;5438;0,0018861;A;0,952834471;C;0,413810925;A;C
Prefeitura Municipal de Cabo de Santo Agostinho - PE;2602902;PE;205112;0,026428352;A;0,815719742;A;1,283432043;C;C
Prefeitura Municipal de Cabo Frio - RJ;3300704;RJ;222528;0,596858649;A;0,979017312;C;2,86580221;C;C
Prefeitura Municipal de Cabo Verde - MG;3109501;MG;14075;0,060649995;A;1,00054193;C;0,082440512;A;C
Prefeitura Municipal de Cabrália Paulista - SP;3508306;SP;4286;0,043270693;A;0,869747369;A;-0,486080071;C;C
Prefeitura Municipal de Cabreúva - SP;3508405;SP;48966;0,068515639;A;0,944949738;B;0,210462555;A;B
Prefeitura Municipal de Cabrobó - PE;2603009;PE;33934;0,331890053;A;0,971532145;C;7,787506557;C;C
Prefeitura Municipal de Caçador - SC;4203006;SC;77863;0,165017089;A;0,905128327;B;3,706551792;C;C
Prefeitura Municipal de Caçapava - SP;3508504;SP;93488;0,317073176;A;0,972409892;C;3,886383499;C;C
Prefeitura Municipal de Caçapava do Sul - RS;4302808;RS;33702;0,038792092;A;0,978079097;C;20,27840814;C;C
Prefeitura Municipal de Cacaulândia - RO;1100601;RO;6190;0,024730386;A;74,03365682;C;0,026977202;A;C
Prefeitura Municipal de Cacequi - RS;4302907;RS;12705;0,096022726;A;0,868514769;A;;n.d.;n.d.
Prefeitura Municipal de Cáceres - MT;5102504;MT;93882;0,248507765;A;0,913974322;B;0,15953201;A;B
Prefeitura Municipal de Cachoeira - BA;2904902;BA;33861;0,490050242;A;0,87983758;A;;n.d.;n.d.
Prefeitura Municipal de Cachoeira Alta - GO;5204102;GO;12297;0,033029286;A;0,861687418;A;0,474974516;A;A
Prefeitura Municipal de Cachoeira da Prata - MG;3109600;MG;3616;0,222732644;A;0,879564493;A;0,140434111;A;A
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1361;;n.d.;0,962880853;C;0,034126968;A;n.d.
Prefeitura Municipal de Cachoeira de Minas - MG;3109709;MG;11514;;n.d.;0,941743986;B;0,020748771;A;n.d.
Prefeitura Municipal de Cachoeira de Pajeú - MG;3102704;MG;9382;0,052361865;A;0,963926447;C;-2,837660754;C;C
Prefeitura Municipal de Cachoeira do Arari - PA;1502004;PA;23466;-0,004655933;A;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Cachoeira do Piriá - PA;1501956;PA;33178;0,62614479;B;0,974856083;C;0,725370951;A;C
Prefeitura Municipal de Cachoeira do Sul - RS;4303004;RS;82547;0,063845796;A;0,986135782;C;170,1631136;C;C
Prefeitura Municipal de Cachoeira dos Índios - PB;2503308;PB;10182;0,053663397;A;;n.d.;1,165345855;C;n.d.
Prefeitura Municipal de Cachoeira Dourada - GO;5204250;GO;8102;0,655579547;B;0,92265584;B;0,372398407;A;B
Prefeitura Municipal de Cachoeira Dourada - MG;3109808;MG;2677;0,060245116;A;0,953479201;C;;n.d.;n.d.
Prefeitura Municipal de Cachoeira Grande - MA;2102374;MA;9382;0,058086289;A;1,518916269;C;2,046307505;C;C
Prefeitura Municipal de Cachoeira Paulista - SP;3508603;SP;33067;0,453685146;A;0,94381709;B;;n.d.;n.d.
Prefeitura Municipal de Cachoeiras de Macacu - RJ;3300803;RJ;58560;0,224380978;A;;n.d.;0,8837758;A;n.d.
Prefeitura Municipal de Cachoeirinha - PE;2603108;PE;20258;0,213962265;A;0,858790758;A;2210,206983;C;C
Prefeitura Municipal de Cachoeirinha - RS;4303103;RS;129307;0,512256646;A;0,852539835;A;0,605051838;A;A
Prefeitura Municipal de Cachoeirinha - TO;1703826;TO;2266;0,05476256;A;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Cachoeiro de Itapemirim - ES;3201209;ES;207324;0,053932173;A;0,845651759;A;0,199363843;A;A
Prefeitura Municipal de Cacimba de Areia - PB;2503407;PB;3729;0,264889205;A;1,011219045;C;3,419877606;C;C
Prefeitura Municipal de Cacimba de Dentro - PB;2503506;PB;17159;1,199839501;B;0,974514661;C;-0,68831058;C;C
Prefeitura Municipal de Cacimbas - PB;2503555;PB;7145;0,106192985;A;0,757005215;A;0,017896303;A;A
Prefeitura Municipal de Cacimbinhas - AL;2701209;AL;10730;0,091076542;A;0,923434594;B;;n.d.;n.d.
Prefeitura Municipal de Cacique Doble - RS;4303202;RS;5055;0,011158742;A;0,816344446;A;0,028972074;A;A
Prefeitura Municipal de Cacoal - RO;1100049;RO;84813;0,168681561;A;0,956292676;C;0,228788001;A;C
Prefeitura Municipal de Caconde - SP;3508702;SP;18961;;n.d.;0,999783898;C;0;n.d.;n.d.
Prefeitura Municipal de Caçu - GO;5204300;GO;15743;0,196696806;A;0,937991906;B;0,974576817;A;B
Prefeitura Municipal de Caculé - BA;2905008;BA;23045;0,541085514;A;0,973877073;C;2,199236653;C;C
Prefeitura Municipal de Caém - BA;2905107;BA;9372;0,2786268;A;1,080170106;C;286,0522706;C;C
Prefeitura Municipal de Caetanópolis - MG;3109907;MG;11495;0,051187135;A;0,97348535;C;-6,848086697;C;C
Prefeitura Municipal de Caetanos - BA;2905156;BA;15524;0,331997192;A;0,918106205;B;;n.d.;n.d.
Prefeitura Municipal de Caeté - MG;3110004;MG;44377;0,055847208;A;0,953949339;C;-36,9257192;C;C
Prefeitura Municipal de Caetés - PE;2603207;PE;28570;0,101753211;A;0,852184385;A;4,81273682;C;C
Prefeitura Municipal de Caetité - BA;2905206;BA;50861;0,845714578;B;0,9504734;C;-0,326553807;C;C
Prefeitura Municipal de Cafarnaum - BA;2905305;BA;18356;;n.d.;0,991836838;C;;n.d.;n.d.
Prefeitura Municipal de Cafeara - PR;4103404;PR;2914;0,040845837;A;0,908698974;B;0,015428733;A;B
Prefeitura Municipal de Cafelândia - PR;4103453;PR;17775;0,105606683;A;0,832004964;A;0,917219452;A;A
